timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
16382,90,11.769491617102176,73,1.1654690674393096,180.02197802197801,1,0.1978247860202791,2.393762873392553,2.4759628698935106,1.0343392394520932,0.0,0.24200091580718183,0.3773654548761745
16435,91,10.418213503813604,53,1.2660423765303346,178.6413043478261,1,0.1837142813976825,1.4481960793025794,1.0724248220674841,0.7405245998069138,0.0,0.6249290238190593,0.3054954956661767
16562,92,12.274754010373726,127,1.3844156199049946,178.08602150537635,1,0.19232443117190856,3.82826070105657,3.3993558891580182,0.8879635308587586,0.0,0.3774812409845621,0.3756950320971627
16801,93,8.330028788099298,239,1.4583051216942957,178.7340425531915,1,0.17363858163253906,7.087281279230957,3.2310157188823383,0.45588930248200005,0.0,0.9968161560158988,0.34796540982074287
16931,94,8.773058205930283,130,1.5353025225809904,178.22105263157894,1,0.1773268837994361,3.434307406493463,1.4545854673041418,0.4235455057266757,0.0,1.0683420770326644,0.2859200435336824
17021,95,12.0230963320937,90,1.6445503747634145,177.30208333333334,1,0.18476490646294905,2.703742568008601,2.7810872505449984,1.0286065261728539,0.0,0.21983712371674702,0.35145625338125763
17074,96,11.34713922534138,53,1.7445770639446305,176.02061855670104,1,0.1782493147463483,1.8218450047075752,1.9132255116931565,1.0501582224335537,0.0,0.24413109034747812,0.3599236969334575
17146,97,11.822650946094655,72,1.8474145525379981,174.9591836734694,1,0.1792609617024386,2.4563333778642122,2.526893582869736,1.028725825916544,0.0,0.17609775926697224,0.3381309808874634
17232,98,12.424993704073131,86,1.9542587863918883,174.06060606060606,1,0.1828867342632038,3.1923442088067526,3.279169599893961,1.0271980041649902,0.0,0.2108489071191155,0.3502869223847109
17385,99,9.832952722257232,153,2.033045725750542,173.85,1,0.1867680466917075,4.487223271792757,2.5909035790118495,0.5773957349745868,0.0,0.8730222310014956,0.33466818202041876
17441,100,11.310937991831452,56,2.3345024362197524,171.93,1,0.19538376562111642,1.6980199478566653,1.864484333051988,1.0980344108474362,0.0,0.15503449500157754,0.3096469390121373
17573,101,13.023975006770343,132,2.6196088060558917,171.39,1,0.19268983803668338,4.05784285105765,4.0853244622366995,1.0067724680791634,0.0,0.26869720310066875,0.40043123544172476
17823,102,-1.874105550639797,250,2.7602434496326693,172.01,0,0.5047396261471655,7.295334653324243,3.399573397472147,0.4659927966324442,0.0,0.9297022370954374,0.26792172854193524
17942,103,12.01280884280277,119,3.0669560474605326,170.91,1,0.19331518614207494,3.4323203809675755,2.942524019964534,0.8572987639152243,0.0,0.5058661719623588,0.29914500329730304
17973,104,10.531677674967796,31,3.248062042609652,168.72,1,0.16390875733230062,0.878656598035013,0.8900620669325198,1.0129805761693629,0.0,0.3798737941372699,0.32282115234217296
18064,105,12.202234131051227,91,3.5248141705099054,167.66,1,0.19845556960916233,3.0040666602086272,3.0383535594806577,1.011413494822265,0.0,0.2749617774802485,0.40607598616431156
18219,106,10.204596081457566,155,3.8212816258903852,166.71,1,0.18033625322146027,4.754877597485028,2.7129266138051515,0.5705565618008938,0.0,0.7606379906534599,0.26765890598188263
18271,107,11.215792892384343,52,4.121043125424746,164.73,1,0.19926269635910293,1.8057931356364862,1.803293291612443,0.9986156531583213,0.0,0.32087056391604946,0.33750913871050464
18372,108,12.841910190880299,101,4.396300614155511,163.6,1,0.17869925141567256,3.8267478909343455,3.8331727565379463,1.001678936210776,0.0,0.18959974720810832,0.35862910648807883
18467,109,12.260347645264119,95,4.673731375375132,162.05,1,0.19891599711443608,2.9804110659752046,3.0983855746678115,1.0395833011222582,0.0,0.1652148648622668,0.39166999752930504
18717,110,-5.540888957912102,250,4.73990659005321,162.05,0,0.5973544996985372,8.634075273142658,1.8483591309940128,0.21407725465905525,0.0,1.3778526351887277,0.23946000722678282
18835,111,12.328878028260078,118,5.049979174648392,160.93,1,0.1861015199724452,4.374074873761493,3.43858959477749,0.7861295688842357,0.0,0.7072635591706364,0.27289327706768013
18880,112,11.060504677705467,45,5.055294512487958,159.85,1,0.1977934898854135,1.4476798564195636,1.5609501993402957,1.0782426739022777,0.0,0.2783146149963966,0.32447969303889707
19001,113,12.909226392395794,121,5.281173493184392,158.56,1,0.18255961152318093,3.822291030082851,3.9013270213806224,1.020677648738866,0.0,0.18476742999203324,0.35374316352729995
19062,114,11.63988103531301,61,5.261403475820329,157.5,1,0.1917329638519456,2.1296239364892244,2.277659468287856,1.0695125224985376,0.0,0.16545178226421653,0.2788479007780552
19117,115,11.764037620741874,55,5.569339456318189,155.95,1,0.19465867836224246,2.4988945700606564,2.4770748458751055,0.991268249390361,0.0,0.3545036675313266,0.22014153126467675
19260,116,9.211261805467075,143,5.732245908928739,155.57,1,0.1975370916574639,4.964428652357309,2.4649426844643427,0.49652092054820635,0.0,1.0600683302185285,0.2910515040972493
19303,117,11.09030498797074,43,6.032826126756549,153.79,1,0.18623604939972888,1.4659497740678489,1.5826635961263176,1.079616521741124,0.0,0.22005135292528286,0.2459519999545245
19434,118,10.092308241695719,131,6.0111391435199355,154.12,1,0.16979021014059262,4.8536051941802745,2.9407455892778307,0.6058889158936821,0.0,0.7842492975059102,0.29454716259900193
19569,119,13.451321435160935,135,6.213606084813759,153.5,1,0.18297016013417286,4.530145698599515,4.572032480655293,1.0092462328681233,0.0,0.23502277195430946,0.21938316707513225
19711,120,9.794556440552697,142,6.468906027322914,152.42,1,0.19665247935179409,5.484135975036769,3.2931169266245055,0.6004805390702272,0.0,0.9097020912911844,0.2671165893528056
19750,121,9.668228649534285,39,6.7081711781638615,150.31,1,0.19814851191763283,1.2838309178128842,0.5452528034903728,0.42470764329251204,0.0,1.2973352848835382,0.17813598697907046
19820,122,11.539296523900703,70,6.961827199353097,148.51,1,0.19098803646119672,3.0168995270039884,2.517190161312262,0.8343632722207438,0.0,0.6104323482553718,0.23642330858316543
19932,123,7.997375252423808,112,7.088170728972723,147.77,1,0.19533562552742803,4.215314599522392,1.1419618847466197,0.2709078664913901,0.0,1.2858977206506477,0.19578181169423703
20182,124,-2.8028347827203106,250,7.088858863016608,147.77,0,0.7237621597346072,8.647331228267284,3.660033186913057,0.42325581041105087,0.0,1.103273910584139,0.26098548075283345
20342,125,11.789101757894969,160,7.276215141776006,146.87,1,0.19858348221098698,5.663486785726851,4.05183025906469,0.7154303368864803,0.0,0.6473378795454668,0.3268607571540231
20401,126,11.204830678761937,59,7.452861772846413,144.96,1,0.17341028364761343,1.795541620999575,1.7568634264624803,0.978458759137222,0.0,0.2647120480840848,0.16023737153616444
20612,127,5.6284668204025365,211,7.508787693443633,144.57,1,0.1900205866055285,7.644709198804236,1.8381317554344416,0.24044495449505876,0.0,1.4044715753519,0.1509597653924651
20669,128,11.948584727942944,57,7.820543471208698,143.05,1,0.18517440293789666,2.563188404962421,2.6604728149071164,1.037954451477835,0.0,0.1877410109306492,0.20572222862392664
20794,129,11.892255718819797,125,8.031352456448044,141.8,1,0.1718380935349423,2.7122914985753592,2.6391069839294854,0.9730174597072939,0.0,0.36906818551190484,0.1814415105468323
20913,130,9.547850148148427,119,8.156504745238967,140.49,1,0.19307714520830405,4.2966010443284155,1.9936261912371016,0.4640007696010597,0.0,1.1516943558498165,0.1355583308051514
21078,131,10.169383639178704,165,8.288533771038097,139.64,1,0.19752220403326237,4.358921392087361,2.555085258089827,0.5861737407625676,0.0,0.9870072915370499,0.19243495065219154
21127,132,11.191286106361076,49,8.267024616162566,138.34,1,0.1871524544223711,1.9665058289101598,1.7924923527354948,0.9115113346645387,0.0,0.44958584038854826,0.10921163759970416
21292,133,8.104214461054653,165,8.231060255725211,138.16,1,0.18986088087294287,4.818734641800985,1.6774933094987576,0.34811904663664994,0.0,1.18333026879992,0.1582150053234328
21432,134,8.877413037902443,140,8.39865828484461,137.06,1,0.19306501700517675,4.442175041045994,1.953366869994677,0.4397320798810125,0.0,0.9227428140372183,0.14133258482856717
21651,135,7.746058931894368,219,8.522130119672042,136.75,1,0.19791150847743147,7.847930326167261,2.9984237818917783,0.38206554559922246,0.0,1.1189294374298229,0.18072543463481744
21721,136,11.67999015366513,70,8.669218363621226,134.95,1,0.1700641111116701,2.622795734398096,2.4003911280829024,0.9152032301264081,0.0,0.363522264184236,0.12267563127671315
21949,137,10.614530060556717,228,8.658390448284521,135.99,1,0.1889649380361618,7.513625169621079,4.104629610284656,0.5462915061135073,0.0,0.8747144668143139,0.27452381536885606
22199,138,-2.8270360231690574,250,8.693245578906794,135.99,0,0.7506814141941757,9.732092975679551,4.118623854432204,0.42320021651299705,0.0,1.1928019893760882,0.2083472764880647
22342,139,13.304421755485237,143,8.804742568500265,134.92,1,0.19614461815806483,5.126041567418723,4.573980268180769,0.8923026097277726,0.0,0.5167602045009589,0.27710395513600866
22449,140,12.177700672938954,107,9.002355270037919,133.49,1,0.15955054744374528,4.240722417552023,3.2289176436436877,0.7614074503625718,0.0,0.7012817265103223,0.2503392269378001
22538,141,12.102763770439196,89,9.006052053825083,133.31,1,0.18766994666669204,3.4782924977596865,3.0685762624791337,0.8822076534551235,0.0,0.5498417127295133,0.21680347057884897
22673,142,12.612613378441893,135,9.036892100464287,132.32,1,0.1971823591593567,4.178487852879333,3.690693414261499,0.8832605344821806,0.0,0.4110024930688715,0.23641828411091953
22876,143,9.491427600893076,203,9.004148611862151,132.91,1,0.1957506250080648,7.420689050102375,3.696596667891726,0.4981473611053313,0.0,0.9565715090314945,0.14804089321676495
23126,144,-5.3998349969042465,250,9.001310366666699,132.91,0,0.6177051128102679,10.544687790866005,2.464798829467117,0.2337479191752049,0.0,1.4433533116598622,0.11907407795976713
23376,145,-2.010867404867895,250,9.01612848751171,132.91,0,0.27244945622388744,10.473259052931091,3.5517210375102097,0.3391228097729722,0.0,1.2358081289436118,0.14718830128654792
23575,146,12.755233523319475,199,9.019576602047714,132.96,1,0.16857713571702754,3.9075644628319424,3.769213384237312,0.9645940380739457,0.0,0.221028725109224,0.24684352670135354
